,airport1,start_lat,start_lon,airport2,end_lat,end_lon,airline
0,Lehigh Valley Intl,-75.44080600000001,40.652083000000005,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
1,Lehigh Valley Intl,-75.44080600000001,40.652083000000005,Philadelphia Intl,-75.241139,39.871944,American Airlines
2,Abilene Rgnl,-99.68189699999999,32.411319,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
3,Albuquerque International Sunport,-106.6091944,35.0402222,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
4,Albuquerque International Sunport,-106.6091944,35.0402222,Los Angeles Intl,-118.408075,33.942536,American Airlines
5,Albuquerque International Sunport,-106.6091944,35.0402222,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
6,Albuquerque International Sunport,-106.6091944,35.0402222,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
7,Dyce,-2.197778,57.201944,Heathrow,-0.46138900000000005,51.4775,American Airlines
8,Kotoka Intl,-0.166786,5.605186,Heathrow,-0.46138900000000005,51.4775,American Airlines
9,Waco Rgnl,-97.230519,31.611289000000003,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
10,Adelaide Intl,138.53055600000002,-34.945,Brisbane Intl,153.1175,-27.384166999999998,American Airlines
11,Adelaide Intl,138.53055600000002,-34.945,Sydney Intl,151.177222,-33.946111,American Airlines
12,Alexandria Intl,-92.54983299999999,31.3274,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
13,Malaga,-4.499105999999999,36.6749,Heathrow,-0.46138900000000005,51.4775,American Airlines
14,Augusta Rgnl At Bush Fld,-81.9645,33.369944,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
15,Augusta Rgnl At Bush Fld,-81.9645,33.369944,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
16,Jesus Teran Intl,-102.317858,21.705558,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
17,Auckland Intl,174.791667,-37.008055999999996,Brisbane Intl,153.1175,-27.384166999999998,American Airlines
18,Auckland Intl,174.791667,-37.008055999999996,Faa\\'a International,-149.611389,-17.556667,American Airlines
19,Auckland Intl,174.791667,-37.008055999999996,Sydney Intl,151.177222,-33.946111,American Airlines
20,Albany Intl,-73.801692,42.748267,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
21,Albany Intl,-73.801692,42.748267,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
22,Albany Intl,-73.801692,42.748267,Philadelphia Intl,-75.241139,39.871944,American Airlines
23,Waterloo Regional Airport,-92.4003,42.5571,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
24,Rick Husband Amarillo Intl,-101.705931,35.219369,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
25,Queen Alia Intl,35.993214,31.722556,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
26,Queen Alia Intl,35.993214,31.722556,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
27,Queen Alia Intl,35.993214,31.722556,Pierre Elliott Trudeau Intl,-73.740833,45.470556,American Airlines
28,Schiphol,4.763889,52.308613,Heathrow,-0.46138900000000005,51.4775,American Airlines
29,Schiphol,4.763889,52.308613,Philadelphia Intl,-75.241139,39.871944,American Airlines
30,Ted Stevens Anchorage Intl,-149.996361,61.174361,Los Angeles Intl,-118.408075,33.942536,American Airlines
31,Ted Stevens Anchorage Intl,-149.996361,61.174361,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
32,V C Bird Intl,-61.792667,17.136749,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
33,V C Bird Intl,-61.792667,17.136749,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
34,V C Bird Intl,-61.792667,17.136749,Miami Intl,-80.29055600000001,25.79325,American Airlines
35,Rodriguez Ballon,-71.583083,-16.341072,Jorge Chavez Intl,-77.114319,-12.021889,American Airlines
36,Arlanda,17.918611,59.65194399999999,Heathrow,-0.46138900000000005,51.4775,American Airlines
37,Watertown Intl,-76.021739,43.991921999999995,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
38,Watertown Intl,-76.021739,43.991921999999995,Philadelphia Intl,-75.241139,39.871944,American Airlines
39,Alice Springs,133.902222,-23.806667,Sydney Intl,151.177222,-33.946111,American Airlines
40,Silvio Pettirossi Intl,-57.519133,-25.23985,Miami Intl,-80.29055600000001,25.79325,American Airlines
41,Eleftherios Venizelos Intl,23.944467000000003,37.936358,Heathrow,-0.46138900000000005,51.4775,American Airlines
42,Eleftherios Venizelos Intl,23.944467000000003,37.936358,Philadelphia Intl,-75.241139,39.871944,American Airlines
43,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
44,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
45,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Heathrow,-0.46138900000000005,51.4775,American Airlines
46,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Miami Intl,-80.29055600000001,25.79325,American Airlines
47,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
48,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Philadelphia Intl,-75.241139,39.871944,American Airlines
49,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
50,Reina Beatrix Intl,-70.015221,12.501389,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
51,Reina Beatrix Intl,-70.015221,12.501389,Miami Intl,-80.29055600000001,25.79325,American Airlines
52,Reina Beatrix Intl,-70.015221,12.501389,Philadelphia Intl,-75.241139,39.871944,American Airlines
53,Abu Dhabi Intl,54.651138,24.432972,Bandaranaike Intl Colombo,79.884117,7.180756,American Airlines
54,Abu Dhabi Intl,54.651138,24.432972,Dusseldorf,6.766775,51.289453,American Airlines
55,Abu Dhabi Intl,54.651138,24.432972,Washington Dulles Intl,-77.455811,38.944533,American Airlines
56,Abu Dhabi Intl,54.651138,24.432972,Chaklala,73.099233,33.616653,American Airlines
57,Abu Dhabi Intl,54.651138,24.432972,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
58,Abu Dhabi Intl,54.651138,24.432972,Allama Iqbal Intl,74.403594,31.521564,American Airlines
59,Abu Dhabi Intl,54.651138,24.432972,Heathrow,-0.46138900000000005,51.4775,American Airlines
60,Abu Dhabi Intl,54.651138,24.432972,Seeb Intl,58.28444399999999,23.593278,American Airlines
61,Abu Dhabi Intl,54.651138,24.432972,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
62,Austin Bergstrom Intl,-97.669889,30.194528000000002,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
63,Austin Bergstrom Intl,-97.669889,30.194528000000002,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
64,Austin Bergstrom Intl,-97.669889,30.194528000000002,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
65,Austin Bergstrom Intl,-97.669889,30.194528000000002,Los Angeles Intl,-118.408075,33.942536,American Airlines
66,Austin Bergstrom Intl,-97.669889,30.194528000000002,Heathrow,-0.46138900000000005,51.4775,American Airlines
67,Austin Bergstrom Intl,-97.669889,30.194528000000002,Louis Armstrong New Orleans Intl,-90.258028,29.993389,American Airlines
68,Austin Bergstrom Intl,-97.669889,30.194528000000002,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
69,Austin Bergstrom Intl,-97.669889,30.194528000000002,Philadelphia Intl,-75.241139,39.871944,American Airlines
70,Austin Bergstrom Intl,-97.669889,30.194528000000002,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
71,Asheville Regional Airport,-82.54180600000001,35.436194,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
72,Wilkes Barre Scranton Intl,-75.723403,41.338478,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
73,Wilkes Barre Scranton Intl,-75.723403,41.338478,Philadelphia Intl,-75.241139,39.871944,American Airlines
74,Kalamazoo,-85.552058,42.234875,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
